Player_Norm,First,Last,Current_Team,Position
LEO.CARLSSON,Leo,Carlsson,ANA,F
CUTTER.GAUTHIER,Cutter,Gauthier,ANA,F
MIKAEL.GRANLUND,Mikael,Granlund,ANA,F
JANSEN.HARKINS,Jansen,Harkins,ANA,F
ROSS.JOHNSTON,Ross,Johnston,ANA,F
ALEX.KILLORN,Alex,Killorn,ANA,F
CHRIS.KREIDER,Chris,Kreider,ANA,F
MASON.MCTAVISH,Mason,McTavish,ANA,F
RYAN.POEHLING,Ryan,Poehling,ANA,F
BECKETT.SENNECKE,Beckett,Sennecke,ANA,F
TROY.TERRY,Troy,Terry,ANA,F
FRANK.VATRANO,Frank,Vatrano,ANA,F
JEFFREY.VIEL,Jeffrey,Viel,ANA,F
TIM.WASHE,Tim,Washe,ANA,F
JOHN.CARLSON,John,Carlson,ANA,D
RADKO.GUDAS,Radko,Gudas,ANA,D
DREW.HELLESON,Drew,Helleson,ANA,D
TYSON.HINDS,Tyson,Hinds,ANA,D
JACKSON.LACOMBE,Jackson,LaCombe,ANA,D
PAVEL.MINTYUKOV,Pavel,Mintyukov,ANA,D
IAN.MOORE,Ian,Moore,ANA,D
JACOB.TROUBA,Jacob,Trouba,ANA,D
OLEN.ZELLWEGER,Olen,Zellweger,ANA,D
LUKAS.DOSTAL,Lukas,Dostal,ANA,G
VILLE.HUSSO,Ville,Husso,ANA,G
PETR.MRAZEK,Petr,Mrazek,ANA,G
VIKTOR.ARVIDSSON,Viktor,Arvidsson,BOS,F
MICHAEL.EYSSIMONT,Michael,Eyssimont,BOS,F
MORGAN.GEEKIE,Morgan,Geekie,BOS,F
JAMES.HAGENS,James,Hagens,BOS,F
TANNER.JEANNOT,Tanner,Jeannot,BOS,F
MARK.KASTELIC,Mark,Kastelic,BOS,F
MARAT.KHUSNUTDINOV,Marat,Khusnutdinov,BOS,F
SEAN.KURALY,Sean,Kuraly,BOS,F
ELIAS.LINDHOLM,Elias,Lindholm,BOS,F
FRASER.MINTEN,Fraser,Minten,BOS,F
CASEY.MITTELSTADT,Casey,Mittelstadt,BOS,F
DAVID.PASTRNAK,David,Pastrnak,BOS,F
LUKAS.REICHEL,Lukas,Reichel,BOS,F
ALEX.STEEVES,Alex,Steeves,BOS,F
PAVEL.ZACHA,Pavel,Zacha,BOS,F
JONATHAN.ASPIROT,Jonathan,Aspirot,BOS,D
JORDAN.HARRIS,Jordan,Harris,BOS,D
HENRI.JOKIHARJU,Henri,Jokiharju,BOS,D
HAMPUS.LINDHOLM,Hampus,Lindholm,BOS,D
MASON.LOHREI,Mason,Lohrei,BOS,D
CHARLIE.MCAVOY,Charlie,McAvoy,BOS,D
ANDREW.PEEKE,Andrew,Peeke,BOS,D
NIKITA.ZADOROV,Nikita,Zadorov,BOS,D
JOONAS.KORPISALO,Joonas,Korpisalo,BOS,G
JEREMY.SWAYMAN,Jeremy,Swayman,BOS,G
ZACH.BENSON,Zach,Benson,BUF,F
SAM.CARRICK,Sam,Carrick,BUF,F
JUSTIN.DANFORTH,Justin,Danforth,BUF,F
JOSH.DOAN,Josh,Doan,BUF,F
JOSH.DUNNE,Josh,Dunne,BUF,F
JORDAN.GREENWAY,Jordan,Greenway,BUF,F
TYSON.KOZAK,Tyson,Kozak,BUF,F
PEYTON.KREBS,Peyton,Krebs,BUF,F
JIRI.KULICH,Jiri,Kulich,BUF,F
BECK.MALENSTYN,Beck,Malenstyn,BUF,F
RYAN.MCLEOD,Ryan,McLeod,BUF,F
JOSH.NORRIS,Josh,Norris,BUF,F
NOAH.OSTLUND,Noah,Ostlund,BUF,F
TANNER.PEARSON,Tanner,Pearson,BUF,F
JACK.QUINN,Jack,Quinn,BUF,F
TAGE.THOMPSON,Tage,Thompson,BUF,F
ALEX.TUCH,Alex,Tuch,BUF,F
JASON.ZUCKER,Jason,Zucker,BUF,F
BOWEN.BYRAM,Bowen,Byram,BUF,D
RASMUS.DAHLIN,Rasmus,Dahlin,BUF,D
MICHAEL.KESSELRING,Michael,Kesselring,BUF,D
ZACH.METSA,Zach,Metsa,BUF,D
OWEN.POWER,Owen,Power,BUF,D
MATTIAS.SAMUELSSON,Mattias,Samuelsson,BUF,D
LUKE.SCHENN,Luke,Schenn,BUF,D
LOGAN.STANLEY,Logan,Stanley,BUF,D
CONOR.TIMMINS,Conor,Timmins,BUF,D
COLTEN.ELLIS,Colten,Ellis,BUF,G
UKKO.PEKKA.LUUKKONEN,Ukko-Pekka,Luukkonen,BUF,G
ALEX.LYON,Alex,Lyon,BUF,G
SEBASTIAN.AHO,Sebastian,Aho,CAR,F
JACKSON.BLAKE,Jackson,Blake,CAR,F
WILLIAM.CARRIER,William,Carrier,CAR,F
NICOLAS.DESLAURIERS,Nicolas,Deslauriers,CAR,F
