Player,Season,Position,Team,18-20 Blend,20-22+ Blend,18-20 Blend Lower,20-22+ Blend Lower,18-20 Blend Upper,20-22+ Blend Upper
Connor McDavid,25-26,F,EDM,100,107,99.0,106.0,102.0,109.0
Nathan MacKinnon,23-24,F,COL,98,104,97.0,103.0,99.0,105.0
Matthew Schaefer,25-26,D,NYI,97,104,95.80962338307943,102.2237865546715,98.46647232962546,104.9473162411184
Jake Sanderson,25-26,D,OTT,98,103,95.75875388169038,100.6204589452042,100.2881636987889,105.1753654753076
Connor McDavid,24-25,F,EDM,96,101,96.0,100.0,98.0,102.0
Connor McDavid,21-22,F,EDM,98,100,97.0,99.0,98.0,100.0
Nathan MacKinnon,22-23,F,COL,96,100,95.0,99.0,97.0,100.0
Nathan MacKinnon,24-25,F,COL,96,100,95.0,98.0,97.0,101.0
Connor McDavid,22-23,F,EDM,96,99,96.0,98.0,97.0,99.0
Cale Makar,24-25,D,COL,93,99,91.52212803092323,97.40732047114678,94.42032420221426,100.3218310142865
Cale Makar,25-26,D,COL,94,99,92.24985922676098,97.51820503200422,95.23482724985317,100.5199758784413
Nathan MacKinnon,21-22,F,COL,96,98,95.0,98.0,96.0,99.0
Connor McDavid,23-24,F,EDM,94,98,94.0,97.0,96.0,98.0
Cale Makar,23-24,D,COL,92,98,90.19405370048565,96.25572061331843,92.98695714357206,99.06434572002418
Jake Sanderson,24-25,D,OTT,95,98,93.82240418948206,96.29511589176965,96.28456435900287,98.77113592245323
Cale Makar,22-23,D,COL,92,97,90.65683912760299,96.30111906245529,92.55884419751912,98.2401981771331
Roope Hintz,21-22,F,DAL,94,96,93.0,95.0,94.0,96.0
Cale Makar,21-22,D,COL,91,96,90.20263105462277,95.34375466677318,91.64392334498336,96.8212200472372
Luke Hughes,23-24,D,N.J,94,96,93.19510400806529,95.72326686971155,94.56175644221341,97.12421910687058
Nathan MacKinnon,25-26,F,COL,94,95,92.0,94.0,95.0,97.0
Erik Karlsson,25-26,D,PIT,92,95,90.33879207355847,92.81652091091279,93.72828575557767,96.22509455061567
Brayden Point,21-22,F,T.B,93,94,93.0,93.0,93.0,94.0
Brayden Point,22-23,F,T.B,94,94,94.0,94.0,95.0,94.0
Owen Tippett,25-26,F,PHI,91,94,90.0,93.0,91.0,94.0
Jake Sanderson,23-24,D,OTT,92,94,91.40579665230281,93.00774367344738,92.9754427764079,94.60798547344498
Luke Hughes,24-25,D,N.J,93,94,92.22060815803391,93.33918353279826,94.05467607603704,95.20900125881374
Olen Zellweger,25-26,D,ANA,94,94,93.16125252801395,92.64385837196437,95.56712335374249,95.06327219787339
Julien Gauthier,21-22,F,NYR,88,93,88.0,92.0,89.0,93.0
Brayden Point,23-24,F,T.B,94,93,93.0,92.0,94.0,94.0
Julien Gauthier,23-24,F,NYI,88,93,87.0,92.0,89.0,94.0
Roope Hintz,23-24,F,DAL,92,93,92.0,92.0,93.0,94.0
Brayden Point,25-26,F,T.B,94,93,93.0,93.0,94.0,94.0
Roope Hintz,25-26,F,DAL,92,93,92.0,93.0,93.0,94.0
Mike Matheson,22-23,D,MTL,89,93,88.59651371178671,91.69957343164754,90.32184951219375,93.45853962437316
Jack Eichel,21-22,F,VGK,92,92,92.0,91.0,92.0,92.0
Sam Lafferty,21-22,F,CHI/PIT,90,92,90.0,92.0,90.0,92.0
Denis Gurianov,22-23,F,DAL/MTL,90,92,90.0,92.0,91.0,92.0
Julien Gauthier,22-23,F,NYR/OTT,87,92,87.0,91.0,88.0,92.0
Roope Hintz,22-23,F,DAL,93,92,92.0,91.0,94.0,92.0
Martin Necas,23-24,F,CAR,92,92,92.0,92.0,93.0,93.0
Miles Wood,23-24,F,COL,89,92,89.0,91.0,89.0,92.0
Brayden Point,24-25,F,T.B,94,92,93.0,92.0,94.0,93.0
Martin Necas,24-25,F,CAR/COL,93,92,92.0,92.0,94.0,93.0
Miles Wood,24-25,F,COL,90,92,89.0,91.0,90.0,92.0
Martin Necas,25-26,F,COL,94,92,93.0,91.0,94.0,93.0
Tim Stützle,25-26,F,OTT,92,92,91.0,91.0,92.0,92.0
Erik Karlsson,21-22,D,S.J,89,92,88.72619608077895,90.99193025355945,89.73902385590962,92.03017765426787
Kaiden Guhle,22-23,D,MTL,89,92,89.01344881082163,91.37267290033412,89.89402908360185,92.27535369343462
Zach Werenski,24-25,D,CBJ,91,92,90.10928952361519,90.51395382056329,92.45302510133104,92.87088263002396
Quinn Hughes,25-26,D,MIN/VAN,94,92,92.73941565857501,91.07296698044807,95.28549214291624,93.63337570321131
Zach Werenski,25-26,D,CBJ,92,92,90.90497884895268,90.99594151734935,93.09625181979781,93.19954948553608
Denis Gurianov,21-22,F,DAL,90,91,89.0,91.0,90.0,91.0
Rasmus Kupari,24-25,F,WPG,89,91,88.0,90.0,89.0,92.0
